"Species","Rank","Factor_Score","Interum_Value","Revenue","CA_Revenue","OR_Revenue","WA_Revenue"
"sablefish",1,10,8.16178646152863,116271.5572689,37112.4740406,58914.219807,20244.8634213
"petrale sole",2,7.97989801682992,6.51302235981416,33190.5365419,7735.3108009,23840.3837714,1614.8419696
"Dover sole",3,7.87082702524528,6.42400094556806,30747.4332774,8730.4249601,20722.6392605,1294.3690568
"widow rockfish",4,7.27570077855275,5.93827161125251,19866.0458328,494.9136088,17054.1015299,2317.0306941
"shortspine thornyhead",5,6.97290829337664,5.69113885063622,15687.4013739,12725.6237309,2767.4415065,194.3361365
"lingcod",6,6.44870879460732,5.26329841341666,10162.2261424,3844.1629862,5464.2139291,853.8492271
"yellowtail rockfish",7,6.26500976554421,5.11336718857634,8654.8790257,295.3869055,7028.5661585,1330.9259617
"black rockfish",8,5.45877761718246,4.45533772524153,4026.1726088,1216.567634,2809.5958243,0.0091505
"gopher rockfish",9,5.20907053275169,4.25153213513605,3103.9824404,3101.4049466,2.5774938,0
"longspine thornyhead",10,5.18996204951517,4.23593619915802,3041.2511001,2254.5423257,778.2071815,8.5015929
"cabezon",11,5.08601575874526,4.15109745628483,2717.9314398,1679.1244558,1038.806984,0
"longnose skate",12,5.03858512278561,4.11238558404111,2580.0752822,448.5550446,1906.7854187,224.7348189
"chilipepper",13,4.78055992267452,3.90179092554112,1926.6373202,1848.8629145,77.7190897,0.055316
"vermilion rockfish",14,4.73643321694224,3.86577565059736,1829.8934915,1797.3326608,32.5608307,0
"rex sole",15,4.63505561479919,3.78303341653003,1622.6438519,344.3954085,1253.4616931,24.7867503
"bocaccio",16,4.58681225575071,3.74365821705598,1531.0128864,1488.599532,30.918385,11.4949694
"canary rockfish",17,4.58357349983129,3.74101481363444,1525.0167,704.2660072,733.2278095,87.5228833
"brown rockfish",18,4.48696084532123,3.66216162807518,1354.7995489,1353.9019263,0.8976226,0
"grass rockfish",19,4.33105173139491,3.53491193854791,1113.1348327,1109.1373028,3.9975299,0
"darkblotched rockfish",20,4.19256302518673,3.42188041380745,929.2614759,101.9683276,775.6879006,51.6052477
"kelp greenling",21,4.14615360867634,3.38400203907126,873.5367896,244.6532343,628.8835553,0
"Pacific ocean perch",22,4.11835263004968,3.36131147397403,841.4894112,1.3779908,654.2533772,185.8580432
"big skate",23,4.11200832436002,3.35613338714546,834.3129072,81.0490695,749.8357724,3.4280653
"copper rockfish",24,4.09089394390751,3.33890028069337,810.7893735,741.1805958,69.6087777,0
"arrowtooth flounder",25,4.02157160012086,3.28232086399344,737.3478317,33.9497607,680.2263476,23.1717234
"blackgill rockfish",26,3.94676450931302,3.22126491389527,664.3074512,645.564951,18.3907031,0.3517971
"English sole",27,3.93680683525672,3.21313767296517,655.0494381,290.8907988,359.8526555,4.3059838
"Pacific sanddab",28,3.91948544245086,3.1990003220354,639.1972679,469.2448717,169.9523962,0
"Pacific cod",29,3.89802886851606,3.18148792457022,619.9982162,0.1023315,605.5177631,14.3781216
"blue rockfish",30,3.7520027947957,3.06230456141811,501.4975143,412.6413011,88.8562132,0
"China rockfish",31,3.70303381099441,3.02233712251569,466.199386,110.5172924,355.6820936,0
"rougheye rockfish",32,3.59970955553993,2.9380060715841,398.375587,16.5765094,250.1338004,131.6652772
"bank rockfish",33,3.34519281295631,2.73027494119897,265.0750152,260.3072545,4.5857638,0.1819969
"redbanded rockfish",34,3.314221714395,2.70499699190533,251.7251403,68.6458297,123.0836471,59.9956635
"quillback rockfish",35,3.29252882379425,2.68729171782367,242.7069977,149.9265388,92.7773513,0.0031076
"treefish",36,3.26046286744834,2.66112016898566,229.8631584,229.8631584,0,0
"silvergray rockfish",37,3.10252534054356,2.53221493209979,174.4495317,0.2036592,91.9912824,82.2545901
"sand sole",38,3.00923116912182,2.45607022157484,147.2327185,76.7000049,70.5327136,0
"splitnose rockfish",39,2.9543327979405,2.41126334330807,132.9172524,23.7621282,88.7699796,20.3851446
"California scorpionfish",40,2.85549916773709,2.33059744481429,110.0233365,110.0233365,0,0
"aurora rockfish",41,2.83099677372605,2.31059911404285,104.8798931,55.6842462,45.8798234,3.3158235
"starry flounder",42,2.78814751699964,2.27562646569924,96.3594497,79.6293504,16.7282129,0.0018864
"Pacific spiny dogfish",43,2.69928467670018,2.20309851301032,80.4903814,12.6051149,2.5263356,65.3589309
"greenspotted rockfish",44,2.63708960108321,2.15233622039589,70.7132234,69.6094104,1.1002158,0.0035972
"starry rockfish",45,2.5474006845696,2.07913404194089,58.3463683,58.3463683,0,0
"shortraker rockfish",46,2.50028269147328,2.0406773421261,52.5979199,0.3684805,35.7655736,16.4638658
"kelp rockfish",47,2.48969461017767,2.03203557626889,51.3723561,51.3723561,0,0
"rosethorn rockfish",48,2.48444275737673,2.02774912616002,50.7732042,3.8880976,14.02621,32.8588966
"olive rockfish",49,2.45029794242826,1.99988085732224,47.0159407,46.6669912,0.3489495,0
"leopard shark",50,2.4373026952404,1.98927441406603,45.6472882,45.6472882,0,0
"redstripe rockfish",51,2.42869922798012,1.98225244780532,44.7592836,0,38.2603223,6.4989613
"greenstriped rockfish",52,2.39534367799318,1.95502836017529,41.4492818,21.5453341,18.9242587,0.979689
"yellowmouth rockfish",53,2.38056584869985,1.94296701146959,40.0484494,0.1805934,34.4834098,5.3844462
"flathead sole",54,2.37152542874728,1.93558841375204,39.2107936,0.0118096,39.198984,0
"sharpchin rockfish",55,2.21746507030369,1.80984763897173,26.9988043,0.0815057,23.410688,3.5066106
"speckled rockfish",56,2.09156993487072,1.70709471777682,19.5128229,19.5128229,0,0
"rosy rockfish",57,1.9805269347651,1.61646379228586,14.4111917,14.3998243,0.0113674,0
"rock sole",58,1.96060356046625,1.60020275962383,13.6240315,10.7399749,2.546208,0.3378486
"curlfin sole",59,1.83547017470819,1.49807156224729,9.4445417,9.1402642,0.3042775,0
"stripetail rockfish",60,1.77685914852467,1.45023449424719,7.8864047,5.6428702,2.2435345,0
"flag rockfish",61,1.70557448283955,1.39205347231685,6.2818626,6.2818626,0,0
"cowcod",62,1.45886632460132,1.19069554173111,2.6370305,2.6124487,0.0245818,0
"yelloweye rockfish",63,1.3410899689671,1.09456899524075,1.6520282,0.6762748,0.9217619,0.0539915
"honeycomb rockfish",64,1.25785174650741,1.02663173552543,1.1572173,1.1572173,0,0
"squarespot rockfish",65,0.941406077011576,0.768355537415386,0.2313314,0.2313314,0,0
